CON,RA,DEC
LAC,22.675278,44.2667
LAC,22.508056,43.1333
LAC,22.350556,46.5333
LAC,22.492222,47.7167
LAC,,
LAC,22.508056,43.1333
LAC,22.266389,37.7500
LAC,,
LIB,15.067778,-25.2833
LIB,14.848056,-16.0500
LIB,15.283333,-9.3833
LIB,15.592222,-14.7833
LIB,15.616944,-28.1333
LIB,15.644444,-29.7833
LIB,,
LIB,15.592222,-14.7833
LIB,14.848056,-16.0500
LIB,,
LUP,14.698889,-47.4000
LUP,15.204722,-52.1000
LUP,15.377778,-44.7000
LUP,15.585833,-41.1667
LUP,16.002222,-38.4000
LUP,16.109722,-36.8000
LUP,15.849167,-33.6167
LUP,15.363611,-36.2667
LUP,15.356111,-40.6500
LUP,14.975556,-43.1333
LUP,14.698889,-47.4000
LUP,14.323333,-46.0667
LUP,,
LYR,18.615556,38.7833
LYR,18.746389,37.6000
LYR,18.908333,36.9000
LYR,18.982222,32.6833
LYR,18.834444,33.3667
LYR,18.746389,37.6000
LYR,,
MEN,6.170833,-74.7500
MEN,5.531389,-76.3500
MEN,4.919722,-74.9333
MEN,5.045278,-71.3167
MEN,,
MIC,20.832778,-33.7833
MIC,21.021667,-32.2667
MIC,21.299167,-32.1667
MIC,21.346111,-40.8167
MIC,20.808056,-43.9833
MIC,20.832778,-33.7833
MIC,,
MUS,11.760000,-66.7167
MUS,12.292778,-67.9500
MUS,12.619722,-69.1333
MUS,12.771389,-68.1167
MUS,13.037778,-71.5500
MUS,12.541111,-72.1333
MUS,12.619722,-69.1333
MUS,,
NOR,16.108056,-45.1667
NOR,16.053611,-49.2333
NOR,16.330556,-50.1667
NOR,16.453056,-47.5667
NOR,16.108056,-45.1667
NOR,,
OCT,22.767500,-81.3833
OCT,14.448889,-83.6667
OCT,21.691389,-77.3833
OCT,22.767500,-81.3833
OCT,,
OPH,17.582222,12.5667
OPH,16.962222,9.3833
OPH,16.619167,-10.5667
OPH,17.173056,-15.7167
OPH,17.724444,4.5667
OPH,17.582222,12.5667
OPH,,
OPH,16.962222,9.3833
OPH,16.515278,1.9833
OPH,16.238889,-3.6833
OPH,16.305278,-4.7000
OPH,,
OPH,17.724444,4.5667
OPH,17.798333,2.7167
OPH,18.029167,1.3000
OPH,18.090833,2.5000
OPH,18.010556,2.9333
OPH,,
OPH,16.619167,-10.5667
OPH,16.518889,-16.6167
OPH,16.450556,-18.4667
OPH,16.401667,-20.0333
OPH,16.535556,-21.4667
OPH,,
OPH,17.173056,-15.7167
OPH,17.350278,-21.1000
OPH,17.366667,-25.0000
OPH,17.439444,-24.1833
OPH,,
PAV,20.427222,-56.7333
PAV,20.145278,-66.1833
PAV,20.749167,-66.2000
PAV,21.440833,-65.3667
PAV,20.427222,-56.7333
PAV,,
PAV,20.145278,-66.1833
PAV,18.949167,-67.2500
PAV,18.717222,-71.4333
PAV,20.009722,-72.9000
PAV,20.145278,-66.1833
PAV,,
PAV,18.949167,-67.2500
PAV,18.870278,-62.1833
PAV,18.522778,-62.2667
PAV,18.387222,-61.4833
PAV,18.142778,-63.6667
PAV,18.522778,-62.2667
PAV,,
PAV,18.142778,-63.6667
PAV,17.762222,-64.7333
PAV,,
PSA,22.168889,-32.5500
PSA,22.525000,-32.3500
PSA,22.875278,-32.8667
PSA,22.932500,-32.5333
PSA,22.960833,-29.6167
PSA,22.677778,-27.0500
PSA,22.168889,-32.5500
PSA,21.795556,-30.9000
PSA,21.749167,-33.0333
PSA,22.139722,-33.0000
PSA,22.168889,-32.5500
PSA,,
RET,4.240278,-62.4667
RET,3.736667,-64.8000
RET,3.979167,-61.4000
RET,4.274444,-59.3167
RET,4.240278,-62.4667
RET,,
SCO,17.512778,-37.3000
SCO,17.560000,-37.1000
SCO,17.708056,-39.0333
SCO,17.793056,-40.1167
SCO,17.621944,-43.0000
SCO,17.202500,-43.2333
SCO,16.909722,-42.3500
SCO,16.872222,-38.0167
SCO,16.836111,-34.3000
SCO,16.598056,-28.2167
SCO,16.490278,-26.4333
SCO,16.353333,-25.5833
SCO,16.200000,-19.4667
SCO,16.090556,-19.8000
SCO,16.005556,-22.6167
SCO,,
SCO,16.353333,-25.5833
SCO,15.948333,-29.2167
SCO,15.980833,-26.1167
SCO,,
SCT,18.786111,-4.7500
SCT,18.586667,-8.2500
SCT,18.486667,-14.5667
SCT,,
SER,15.769722,15.4167
SER,15.940833,15.6500
SER,15.812222,18.1333
SER,15.769722,15.4167
SER,15.580278,10.5333
